 x, y, z, s
   11.0309505     ,   3.43514180     ,   7.14534521     ,   5.98713923    
   11.0259600     ,   3.41831160     ,   7.12846231     ,   6.01149464    
   11.0208492     ,   3.40158343     ,   7.11153889     ,   6.03583288    
   11.0156202     ,   3.38495874     ,   7.09457397     ,   6.06015444    
   11.0102711     ,   3.36843801     ,   7.07756805     ,   6.08445978    
   11.0047970     ,   3.35202169     ,   7.06052256     ,   6.10874987    
   10.9992008     ,   3.33571172     ,   7.04343653     ,   6.13302517    
   10.9934797     ,   3.31950831     ,   7.02631092     ,   6.15728521    
   10.9876318     ,   3.30341268     ,   7.00914526     ,   6.18153238    
   10.9816570     ,   3.28742528     ,   6.99194098     ,   6.20576620    
   10.9755535     ,   3.27154684     ,   6.97469711     ,   6.22998905    
   10.9693193     ,   3.25577879     ,   6.95741415     ,   6.25420046    
   10.9629545     ,   3.24012232     ,   6.94009256     ,   6.27840137    
   10.9564571     ,   3.22457743     ,   6.92273235     ,   6.30259275    
   10.9498253     ,   3.20914507     ,   6.90533447     ,   6.32677603    
   10.9430590     ,   3.19382668     ,   6.88789749     ,   6.35095215    
   10.9361563     ,   3.17862272     ,   6.87042379     ,   6.37512112    
   10.9291162     ,   3.16353440     ,   6.85291195     ,   6.39928484    
   10.9219370     ,   3.14856243     ,   6.83536291     ,   6.42344427    
   10.9146175     ,   3.13370752     ,   6.81777716     ,   6.44759989    
   10.9071579     ,   3.11897063     ,   6.80015469     ,   6.47175312    
   10.8995562     ,   3.10435176     ,   6.78249598     ,   6.49590540    
   10.8918152     ,   3.08985066     ,   6.76480198     ,   6.52005672    
   10.8839359     ,   3.07546735     ,   6.74707317     ,   6.54420757    
   10.8759155     ,   3.06120110     ,   6.72931051     ,   6.56836081    
   10.8677597     ,   3.04705238     ,   6.71151495     ,   6.59251404    
   10.8594646     ,   3.03302073     ,   6.69368744     ,   6.61667013    
   10.8510342     ,   3.01910591     ,   6.67582798     ,   6.64082956    
   10.8424683     ,   3.00530791     ,   6.65793705     ,   6.66499233    
   10.8337679     ,   2.99162650     ,   6.64001703     ,   6.68915844    
   10.8249311     ,   2.97806168     ,   6.62206745     ,   6.71333075    
   10.8159618     ,   2.96461296     ,   6.60408878     ,   6.73750830    
   10.8068600     ,   2.95128012     ,   6.58608246     ,   6.76169109    
   10.7976265     ,   2.93806338     ,   6.56804895     ,   6.78588104    
   10.7882605     ,   2.92496252     ,   6.54998922     ,   6.81007862    
   10.7787647     ,   2.91197705     ,   6.53190470     ,   6.83428288    
   10.7691374     ,   2.89910698     ,   6.51379395     ,   6.85849667    
   10.7593813     ,   2.88635206     ,   6.49565983     ,   6.88271952    
   10.7494965     ,   2.87371206     ,   6.47750235     ,   6.90695095    
   10.7394848     ,   2.86118746     ,   6.45932245     ,   6.93119192    
   10.7293444     ,   2.84877729     ,   6.44112015     ,   6.95544434    
   10.7190781     ,   2.83648157     ,   6.42289734     ,   6.97970676    
   10.7086859     ,   2.82430029     ,   6.40465403     ,   7.00398016    
   10.6981688     ,   2.81223297     ,   6.38639164     ,   7.02826452    
   10.6875277     ,   2.80028009     ,   6.36810923     ,   7.05256176    
   10.6767626     ,   2.78844070     ,   6.34980917     ,   7.07687140    
   10.6658735     ,   2.77671504     ,   6.33149242     ,   7.10119343    
   10.6548634     ,   2.76510310     ,   6.31315851     ,   7.12552881    
   10.6437321     ,   2.75360441     ,   6.29480886     ,   7.14987659    
   10.6324787     ,   2.74221873     ,   6.27644444     ,   7.17423916    
   10.6211052     ,   2.73094630     ,   6.25806522     ,   7.19861603    
   10.6096134     ,   2.71978641     ,   6.23967266     ,   7.22300625    
   10.5980015     ,   2.70873952     ,   6.22126770     ,   7.24741125    
   10.5862732     ,   2.69780493     ,   6.20284939     ,   7.27183151    
   10.5744267     ,   2.68698263     ,   6.18442059     ,   7.29626703    
   10.5624638     ,   2.67627263     ,   6.16598129     ,   7.32071781    
   10.5503845     ,   2.66567421     ,   6.14753199     ,   7.34518433    
   10.5381908     ,   2.65518785     ,   6.12907410     ,   7.36966610    
   10.5258818     ,   2.64481306     ,   6.11060715     ,   7.39416409    
   10.5134602     ,   2.63454986     ,   6.09213257     ,   7.41867828    
   10.5009251     ,   2.62439775     ,   6.07365179     ,   7.44320822    
   10.4882765     ,   2.61435699     ,   6.05516434     ,   7.46775579    
   10.4755173     ,   2.60442686     ,   6.03667212     ,   7.49231958    
   10.4626484     ,   2.59460783     ,   6.01817465     ,   7.51690006    
   10.4496670     ,   2.58489919     ,   5.99967337     ,   7.54149771    
   10.4365778     ,   2.57530093     ,   5.98116970     ,   7.56611156    
   10.4233799     ,   2.56581306     ,   5.96266317     ,   7.59074306    
   10.4100723     ,   2.55643511     ,   5.94415522     ,   7.61539221    
   10.3966579     ,   2.54716730     ,   5.92564631     ,   7.64005804    
   10.3831387     ,   2.53800917     ,   5.90713739     ,   7.66474056    
   10.3695116     ,   2.52896070     ,   5.88862896     ,   7.68944168    
   10.3557796     ,   2.52002144     ,   5.87012243     ,   7.71415949    
   10.3419437     ,   2.51119161     ,   5.85161829     ,   7.73889399    
   10.3280048     ,   2.50247049     ,   5.83311605     ,   7.76364660    
   10.3139610     ,   2.49385858     ,   5.81461811     ,   7.78841686    
   10.2998152     ,   2.48535538     ,   5.79612446     ,   7.81320429    
   10.2855682     ,   2.47696066     ,   5.77763605     ,   7.83800888    
   10.2712202     ,   2.46867418     ,   5.75915289     ,   7.86283112    
   10.2567720     ,   2.46049595     ,   5.74067783     ,   7.88767004    
   10.2422237     ,   2.45242572     ,   5.72220898     ,   7.91252661    
   10.2275772     ,   2.44446349     ,   5.70374823     ,   7.93740082    
   10.2128325     ,   2.43660879     ,   5.68529749     ,   7.96229076    
